_id;Sr No.;Year;Region;Sub Region;Motor Cycles;Scooters;Moped;Cars;Jeeps;Stn. Wagons;Taxis meter fited;Luxury /Turist Cabs/;Auto-rikshaws;Stage carriages;Contract carriages /Mini Bus;School Buses;Private Service Vehicles;Ambulances;Articulated/Multi.;Trucks & Lorries;Tanker;Delivery Van (4 wheelers);Delivery Van (3 wheelers);Tractors;Trailors;Others
1;1;2000-2001;Greater Mumbai;Mumbai(C);84289;62444;7289;164758;12727;2705;40451;0;0;5394;1881;64;829;902;0;9022;1214;9329;4079;867;866;3761
2;2;2000-2001;Greater Mumbai;Mumbai(W);80320;96297;15230;110397;5465;962;11460;0;60128;0;3853;594;605;298;0;5637;117;5019;9517;370;127;445
3;3;2000-2001;Greater Mumbai;Mumbai(E);39930;44932;9786;42945;4439;472;10536;0;41786;0;976;49;279;158;0;3811;697;4180;4004;124;170;577
4;4;2000-2001;Greater Mumbai;Borivali;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;5;2000-2001;Thane Region;Thane;130448;104028;9304;96933;23755;730;3320;0;54827;791;1864;96;1030;206;0;42289;8159;21309;8228;1107;4352;740
6;6;2000-2001;Thane Region;Kalyan;42910;53177;7143;10968;3183;97;921;0;26440;326;303;26;98;96;0;5897;308;1998;3853;141;217;83
7;7;2000-2001;Thane Region;Vashi Navi Mumbai;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;8;2000-2001;Thane Region;Vasai;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;9;2000-2001;Panvel Region;Panvel;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;10;2000-2001;Panvel Region;Pen-Raigad;37045;37112;3324;19977;7991;307;3339;0;14639;633;150;42;152;157;0;8223;628;3855;2784;420;566;384
11;11;2000-2001;Panvel Region;Ratnagiri;24967;18102;3962;5508;3374;460;147;0;9544;588;129;35;50;67;0;4065;60;2829;1831;388;425;53
12;12;2000-2001;Panvel Region;Sindhudurg;13821;9013;1562;1720;675;616;19;0;5969;342;16;9;23;11;0;1217;23;1040;724;185;255;24
13;13;2000-2001;Kolhapur Region;Kolhapur;114337;59771;50191;14785;9803;611;316;0;10912;929;275;12;14;86;0;7697;632;4431;1595;10694;13524;100
14;14;2000-2001;Kolhapur Region;Sangli;85470;31122;25747;7875;7036;225;436;0;5107;886;34;15;16;38;0;4103;214;3836;1129;8570;9208;110
15;15;2000-2001;Kolhapur Region;Satara;85172;21676;21043;7126;7885;286;1220;0;6373;954;53;24;7;41;0;4464;189;4194;1604;11221;11936;97
16;16;2000-2001;Kolhapur Region;Karad;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;17;2000-2001;Pune Region;Pune;298267;228414;138551;74957;26544;946;3736;0;51798;4946;1313;64;1212;677;0;22016;2654;11144;9978;12801;10850;1406
18;18;2000-2001;Pune Region;Solapur;89774;27886;44711;7384;8165;206;287;0;6403;241;68;10;14;67;0;5550;282;3802;1369;8099;8873;12
